id,title,date,genres,keyword1,keyword2,keyword3,keyword4,keyword5,link,profile
98,[졸업]2023-1학기 학사학위취득유예(졸업유예) 신청 공고,2023-01-16,학사,학년,학기,졸업,예정자,학사,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=6&mode=view&idx=91449,
99,"[졸업]2022학년도 2학기 졸업시험(영어,컴퓨터) 대체 프로그램 안내(추가)",2023-01-16,학사,학년,학기,졸업,시험,영어,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=6&mode=view&idx=91275,
100,[전체/등록]2022학년도 연말정산용 교육비납입증명서 발급 안내,2023-01-12,학사,학년,연말정산,교육비,입증,발급,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=6&mode=view&idx=91421,
101,2023학년도 1학기 21학점 신청 안내 공고,2023-01-11,학사,학년,학기,학점,추가,신청,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=6&mode=view&idx=91412,
102,"[계절학기 수강생, 강의평가] 2022년 동계 계절학기 강의평가 실시 안내",2023-01-04,학사,강의,평가,수업,하나,방법,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=6&mode=view&idx=91367,
103,[전체]2023-1학기 복학대상자 복학신청 공고,2023-01-04,학사,학기,복학,대상자,복학,신청,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=6&mode=view&idx=91360,
104,2023-1학기 부전공/복수전공 신청공고,2023-01-02,학사,기부,전공,복수,신청,아래,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=6&mode=view&idx=91345,
105,"[전체, 강의평가] 중간강의평가(1차, 10/13~10/19) 실시 안내(2023-2학기)",2023-10-11,학사,수업,관리,강화,학기,부터,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=7&mode=view&idx=93565,
106,[전체] 2023-2 학생선택형P/N 신청 안내,2023-10-06,학사,학생,선택,신청,다음,공지,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=7&mode=view&idx=93550,
107,[전체] 2023-2 중간고사 안내,2023-10-06,학사,학기,중간고사,실시,아래,안내,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=7&mode=view&idx=93534,
108,[전체] 10월2일 임시공휴일 지정에 따른 휴보강안내,2023-09-21,학사,추석,연휴,임시,공휴일,지정,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=7&mode=view&idx=93429,
109,"[전체, 강의평가] 중간강의평가(1차, 10/13~10/19) 실시 안내(2023-2학기)",2023-10-11,학사,수업,관리,강화,학기,부터,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=8&mode=view&idx=93565,
110,[전체] 2023-2 학생선택형P/N 신청 안내,2023-10-06,학사,학생,선택,신청,다음,공지,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=8&mode=view&idx=93550,
111,[전체] 2023-2 중간고사 안내,2023-10-06,학사,학기,중간고사,실시,아래,안내,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=8&mode=view&idx=93534,
112,[전체] 10월2일 임시공휴일 지정에 따른 휴보강안내,2023-09-21,학사,추석,연휴,임시,공휴일,지정,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=8&mode=view&idx=93429,
113,"[전체, 강의평가] 중간강의평가(1차, 10/13~10/19) 실시 안내(2023-2학기)",2023-10-11,학사,수업,관리,강화,학기,부터,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=9&mode=view&idx=93565,
114,[전체] 2023-2 학생선택형P/N 신청 안내,2023-10-06,학사,학생,선택,신청,다음,공지,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=9&mode=view&idx=93550,
